urls,titles,authors,published_dates,articles_content
https://news.abs-cbn.com/news/03/05/21/pagprayoridad-sa-senior-health-workers-sa-pagturok-ng-astrazeneca-vaccines-hinimok,Pagprayoridad sa senior health workers sa pagturok ng AstraZeneca vaccines hinimok,ABS-CBN News,Posted at Mar 05 2021 05:41 PM | Updated as of Mar 05 2021 06:26 PM,"Ang kargamentong may laman na 487,200 doses ng AstraZeneca vaccines na ipinangako ng COVAX facility ng World Health Organization (COVAX). CREDIT: PCOO-OGMPA handout
MAYNILA - Inirekomenda ng isang dating health chief na unahing mabigyan ng AstraZeneca vaccines ang mga health frontliner na nasa edad 60 pataas.Ito ay matapos dumating sa bansa ang 487,200 doses ng AstraZeneca vaccines na ipinangako ng COVAX facility ng World Health Organization (COVAX).Ayon kay dating health secretary Esperanza Cabral, lantad sa virus ang mga senior na frontliner, pero hindi pa sila nababakunahan dahil hindi inirerekomenda sa mga may edad 60 pataas ang Sinovac vaccines mula China na unang dumating sa bansa.Marami rin aniyang health worker ang edad 60 pataas lalo na sa gobyerno, na 65 years ang retirement age.“’Yung AstraZeneca vaccine, walang age limit, walang upper age limit. So puwedeng gamitin iyan doon sa mga over 60 years old. Marami pang frontliners na over 60 years old,” ani Cabral sa panayam sa TeleRadyo.Gabi ng Huwebes nang dumating ang suplay ng AstraZeneca vaccines sa Pilipinas mula sa vaccine-sharing platform COVAX facility, matapos ilang beses na maantala ang pagdating nito dahil sa isyu ng indemnity o bayad-pinsala.Watch more in iWantTFC
Noong Lunes sinimulan ng gobyerno ang vaccine rollout, kung saan inuna ang health workers matapos dumating ang Sinovac vaccines mula China.Inirekomenda ang nasabing bakuna sa mga taong may karamdaman gaya ng obesity, cardiovascular disease, respiratory disease, at diabetes. Maaari rin itong gamitin sa mga gumaling kontra COVID-19.Pero bawal itong gamitin sa mga may allergic reaction at mga may edad 18 pababa. May mga inaasahan ding side effects gaya ng kirot sa naturukang bahagi, pagkahapo, pananakit ng kalamnan, sakit sa ulo, at panginginig o chills.May iba pang malalang epekto tulad ng anemia, pamamaga, myelitis, at mataas na lagnat.READ: What to expect after getting a COVID-19 vaccine
Ang mga naitatalang side effect ang nagbibigay ng agam-agam sa ilan na magpaturok, ayon sa mga lokal na pamahalaan na nagsimula nang kumalap ng datos para sa sarili nilang mga vaccination program.Inaasahan na ngayong hapon ng Biyernes o Sabado ipapamahagi ang AstraZeneca vaccines na dumating na ng Pilipinas.
RELATED VIDEO:Watch more in iWantTFC
Bisitahin ang Patrol.PH para sa iba pang mga balita."
https://news.abs-cbn.com/business/03/05/21/philippine-airlines-cebu-pacific-help-transport-covid-19-vaccines-across-ph,"Philippine Airlines, Cebu Pacific help transport COVID-19 vaccines across PH",ABS-CBN News,Posted at Mar 05 2021 04:56 PM,"Jacque Manabat, ABS-CBN News; Ciele Villaluna, PAL
MANILA - The Philippine Airlines and Cebu Pacific said their planes were helping transport COVID-19 vaccines to different cities in the country, as government's inoculation drive has begun.
Philippine Airlines spokesperson Cielo Villaluna said Thursday the flag carrier has flown thousands of doses of the Sinovac COVID-19 vaccine to different parts of the country.Some 17,400 doses of Sinovac vaccines have been shipped to Cagayan de Oro, 21,600 doses to Davao, 12,000 doses to Legazpi and 4,200 doses to Cotabato City, as of 10:35 a.m. on March 4.""Philippine Airlines is proud to be part of this mission of bringing the vaccines to various parts of the country as a first step towards healing and recovery,"" Villaluna said in a Facebook post.
Cebu Pacific on Friday said its unit CebGo carried doses of COVID-19 vaccines to Zamboanga and Tuguegarao.
Zamboanga received 17 boxes, while 28 boxes were transported to Tuguegarao, the carrier said.
“As a public service with the widest domestic network, we will do all we can to help ensure the timely and successful distribution of vaccines across the country, as we all work together to pave way for the recovery of our economy,” said CEBGo president and CEO Alex Reyes.
Cebu Pacific said it has flown a total 21,000 doses of COVID-19 vaccines.
Private firms have been instrumental in increasing the testing and isolation capacity of the country when the pandemic started last year.Tycoon Manny Pangilinan earlier said Metro Pacific Investment Corp through its logistics arm has ""taken the initiative"" to store batches of China's COVID-19 vaccine Sinovac in its facility.This year, private firms have committed to help in procuring, transporting and storing the vaccines.
Planning a beach trip? Here’s a list of ongoing seat sales in PH
Cebu Pacific offering stocks, tapping banks to sustain operations as pandemic drags on
RELATED VIDEO:
Watch more in iWantTFC"
https://news.abs-cbn.com/overseas/03/05/21/sinovacs-covid-19-vaccine-may-not-trigger-sufficient-antibody-response-to-brazil-variant-study,Sinovac's COVID-19 vaccine may not trigger sufficient antibody response to Brazil variant -study,Reuters,Posted at Mar 05 2021 05:34 PM,"Health workers from Sta. Ana Hospital administer the Sinovac COVID-19 vaccine CoronaVac to fellow frontliners from different hospitals in Manila on March 2, 2021. George Calvelo, ABS-CBN News
BEIJING - Sinovac Biotech's COVID-19 vaccine may not trigger sufficient antibody responses against a new variant identified in Brazil, a small-sample lab study showed.
The emergence of variants of the new coronavirus has raised concern that vaccines and treatments that were developed based on previous strains may not work as robustly.
Plasma samples taken from eight people vaccinated with Sinovac's CoronaVac failed to efficiently neutralize the P.1 lineage variant, or 20J/501Y.V3, researchers said in a paper published on Monday ahead of peer-review.
""These results suggest that P.1 virus might escape from neutralizing antibodies induced by... CoronaVac,"" researchers at the University of São Paulo in Brazil, Washington University School of Medicine in the United States, and a few other institutions said in the paper.
RELATED STORIES:Should only some health workers receive Sinovac vaccine? Med groups blast ‘double standards’
Don't prejudge Sinovac COVID-19 vaccine, expert group says
CoronaVac is being used in mass vaccination drives in countries including China, Brazil, Indonesia, Turkey and the Philippines.
RELATED VIDEO:Watch more in iWantTFC
Although the study suggests re-infection may occur in vaccinated individuals, the protection given by CoronaVac against severe COVID-19 may indicate other mechanisms in the human immune system, aside from antibodies, may also contribute to reducing disease severity, researchers said.
A Sinovac spokesman was not immediately available for comment. Chief executive Yin Weidong said in a programme aired by state-backed broadcaster CGTN on Thursday the company is ""fully capable"" of using current research and manufacturing capacity to develop a new vaccine against variants if necessary.
He also said the process would take much less time than it took to develop CoronaVac. "
https://news.abs-cbn.com/overseas/03/05/21/cuban-developed-vaccine-enters-phase-iii-trial,Cuban-developed vaccine enters Phase III trial,Agence France-Presse,Posted at Mar 05 2021 11:15 AM,"Cuba's Finlay vaccine institute has announced that it will launch phase 3 trials of the Soberana 2 coronavirus vaccine. AFP
A Cuban-developed coronavirus candidate vaccine entered into Phase III trials Thursday, the first shot developed by a Latin American country to get this far, the government said.
The recruitment of 44,000 volunteers aged 19 to 80 to test the drug named Soberana 2 has already begun, said Cuba's Finlay vaccine institute.
The first trial shots should start being administered in Havana next week.
The trial volunteers will be divided into three groups: some will receive two doses of the vaccine 28 days apart, another group will get two doses plus a third immune booster, and the third a placebo.
This third phase of the trial will officially end three months after the last dose is injected, the institute's Yury Valdes told reporters.
But if the results are promising, authorization for emergency use could be sought before then.
The communist state, which has stated it wants to vaccinate all inhabitants this year, has been relatively unscathed by the Covid-19 pandemic, with just over 53,300 recorded cases and 336 deaths in a population of 11.2 million.
Under American sanctions, the island nation began developing its own vaccines in the 1980s, discovering the first immunization against the meningitis-causing Meningococcal B bacteria.
Nearly 80 percent of its vaccines are produced locally, and Cuba is working on four coronavirus candidate vaccines.
Soberana 2, like Novavax developed in America, is a recombinant protein vaccine.
They work by recreating the ""spikes"" on the surface of the coronavirus and introducing it to the body, training the immune system to recognize such intruders and fight back in case of a real infection.
Recombinant vaccines, unlike some coronavirus shots already in use, do not need extreme refrigeration.
© Agence France-Presse
FROM THE ARCHIVES:
Watch more in iWantTFC"
https://news.abs-cbn.com/news/03/05/21/ospital-sa-iloilo-unang-nakatanggap-ng-sinovac-vaccine-sa-western-visayas,Ospital sa Iloilo unang nakatanggap ng Sinovac vaccine sa Western Visayas,Rolen Escaniel,Posted at Mar 05 2021 10:12 PM,"Photo courtesy of St. Paul Hospital-Iloilo
Unang nakatanggap ng Sinovac vaccine sa Western Visayas Biyernes ang St. Paul Hospital sa Iloilo.
Tinanggap nito ang unang 400 doses ng bakuna sa 1,500 doses na inilaan ng Department of Health Region 6 Biyernes ng umaga.COVID-19 vaccine na gawa ng AstraZeneca, dumating na sa Pilipinas
Unang nabakunahan sa hospital ang 52-anyos na si Dr. Maria Sylvia Teresa de Pili, chairman ng Internal Medicine Department ng hospital.
Si De Pili rin ang unang nabakunahan ng Sinovac sa isla ng Panay.
Bukod sa kaniya may 19 pang kawani ng ospital ang binakunahan.
Photo courtesy of St. Paul Hospital-Iloilo
RELATED VIDEO
Watch more in iWantTFC
Bisitahin ang Patrol.PH para sa iba pang mga balita."
https://news.abs-cbn.com/news/03/05/21/regional-hospitals-receive-sinovac-jabs-as-ph-continues-covid-19-vaccination-program,Regional hospitals receive Sinovac jabs as PH continues COVID-19 vaccination program,ABS-CBN News,Posted at Mar 05 2021 01:50 PM,"Thousands of Sinovac vaccines arrive in Iloilo City on March 5, 2021. Photo courtesy: Office of Civil Defense Region 6
MANILA - Thousands of Sinovac's COVID-19 vaccines have arrived in regional hospitals in the Philippines on Friday, four days since the country began inoculating its health workers against the disease.
Some 17,400 doses of the Chinese-made vaccine arrived in Iloilo City. Of these jabs, at least 6,000 doses would be sent to hospitals in Bacolod City, while the rest would be distributed for medical frontliners in Western Visayas.
Another 7,200 doses were sent to Tacloban City, and would be distributed to health workers in Eastern Visayas.
In Mindanao, 10,000 jabs arrived in Zamboanga City
Some 1,600 would be allocated for the Zamboanga City Medical Center, while the rest would be distributed to other hospitals in the region.
The Department of Health will provide the second dose of Sinovac to the different government-run hospitals after 4 weeks, said Dr. Afdal Kunting, head of the Zamboanga City Medical Center.
Sinovac jabs were also sent to Calapan City in Oriental Mindoro.COVID-19 vaccine confidence grows as side effect worries fade
The deliveries were made 4 days after the Philippines began its inoculation program for health workers.
The vaccination program for the elderly, indigent families and other priority groups is expected to begin as soon as local governments receive jabs ordered from other pharmaceutical giants like Pfizer and AstraZeneca.
487,200 doses of AstraZeneca COVID-19 vaccines from COVAX Facility arrive in PH
The Philippines, which has among the highest infection rates in Asia, aims to inoculate 70 million people to achieve herd immunity in hopes of stopping the pandemic.- with reports from Andrew Bernardo, Queenie Casimiro, Enzo Escaniel, ABS-CBN News
RELATED VIDEO
Watch more in iWantTFC"
https://news.abs-cbn.com/overseas/03/05/21/cheers-and-hope-as-doctor-gets-nigerias-first-covid-19-vaccine,Cheers and hope as doctor gets Nigeria's first COVID-19 vaccine,"Camillus Eboh, Reuters",Posted at Mar 05 2021 09:34 PM,"Dr Ngong Cyprian receives his first dose of the Oxford/AstraZeneca coronavirus disease (COVID-19) vaccine from Dr Faisal Shuaib, Executive Director and Chief Executive Officer of the National Primary Health Care Development Agency, at the National hospital in Abuja, Nigeria, March 5, 2021. Afolabi Sotunde, Reuters
ABUJA - A doctor who has spent the past year treating COVID-19 patients on Friday became the first person in Nigeria to be vaccinated against the disease, kicking off a mammoth campaign that aims to inoculate 80 million people this year.
Vaccinating all of Nigeria's 200 million people and those in other developing countries is seen as key to stemming the global spread of the coronavirus.
""I am happy to be the first and I am happy I am not the last,"" the doctor, 42-year-old Ngong Cyprian, told Reuters. ""I want everybody to be vaccinated.""
Two other male doctors and one female nurse were also inoculated in white tents draped in green, the colors of the national flag, while cameras rolled and officials clapped and cheered.
Nigeria, with 157,671 confirmed cases of COVID-19 and 1,951 deaths, has not been as hard hit by the pandemic as initially feared, but is aiming to vaccinate 40% of its people this year, and a further 30% in 2022.
It took delivery of 3.92 million doses of the Oxford/AstraZeneca vaccine on Tuesday through the COVAX scheme. Nigeria expects to receive 84 million doses of the vaccine from COVAX this year.
The scheme for poor and middle-income countries is co-led by Gavi, the vaccine alliance, and the World Health Organization, with UNICEF as an implementing partner.
'LIGHT AT THE END OF THE TUNNEL'
Nigeria also expects at least 40 million doses from the African Union and 100,000 donated doses of India's Covishield vaccine.
President Muhammadu Buhari and other ""strategic leaders"" will be vaccinated on Saturday in an effort to increase public confidence in the shots.
RELATED VIDEO: How does a pandemic end? | NXT
Watch more in iWantTFC
Nigeria's 36 states, including Lagos, the commercial capital and epicenter of the pandemic in the country, will receive shots in coming weeks. Seroprevalence studies suggest 23% of Lagos state inhabitants may have had COVID-19 in October.
Frontline healthcare workers and employees in key sectors, including oil and gas, will be among those getting the first shots, followed by adults with pre-existing conditions. All those over 18, excluding pregnant women, can then be vaccinated.
""Vaccines provide light at the end of the tunnel but we must get to the end of the tunnel,"" said Chikwe Ihekweazu, Director General of Nigeria Centre for Disease Control, adding that surveillance, testing and treatment would continue.(Reporting By Camillus Eboh, additional reporting by Afolabi Sotunde. writing by Libby George Editing by Gareth Jones)"
https://news.abs-cbn.com/news/03/05/21/vaccines-delivered-in-march-april-still-meant-for-healthcare-workers-says-galvez,"Vaccines delivered in March, April still meant for healthcare workers, says Galvez",ABS-CBN News,Posted at Mar 05 2021 10:27 PM,"The Medical City in Pasig City simulates the flow of COVID-19 vaccination and possible unique scenarios in a drill on February 18, 2021, as the hospital awaits the arrival of the vaccines for its health care workers and allied partners. Mark Demayo, ABS-CBN News/File
MANILA—The Philippines' vaccine czar on Friday said all COVID-19 vaccines to be delivered to the country will be ""specifically allocated"" to healthcare workers.
""Initial deliveries for April will also follow this allocation until we have completely inoculated nearly 2 million individuals under this sector,"" national COVID-19 task force chief implementer Carlito Galvez Jr. said in a statement.
Galvez explained that due to the limited supply of vaccines and recommendation of the National Immunization Technical Advisory Group (NITAG), along with the directive of President Rodrigo Duterte, the allocation of COVID-19 jabs should follow the priority framework issued by the country's inter-agency task force focused on the coronavirus response.
""The framework prioritizes medical frontliners and healthcare workers to be followed by our senior citizens and other sectors. This prioritization primarily ensures that we will be able to protect and preserve our healthcare system as we continue to battle this pandemic,"" he said.
According to Galvez, the prioritization of healthcare workers was emphasized by the World Health Organization as part of the Philippines' agreement in procuring 44 million doses of COVID-19 shots from the COVAX Facility, an initiative focused to provide equitable access to vaccines and which the agency is a leader of.
READ: PH won't lose 44 million vaccines from COVAX despite delay: Galvez
""All the doses from COVAX must first be administered to the agreed upon priority groups starting with healthcare workers. Giving the vaccines to other sectors when not all healthcare workers have been vaccinated will jeopardize succeeding deliveries from COVAX,"" he stressed.
The Philippines on Thursday received 487,200 doses of AstraZeneca COVID-19 vaccines from the COVAX Facility, a boost in its immunization drive following the arrival of Chinese vaccine CoronaVac on Sunday.
WHO country representative Rabindra Abeyasinghe said the Philippines should expect another 4.5 million doses of AstraZeneca jabs to arrive in May through the same vaccine-sharing platform.
487,200 doses of AstraZeneca COVID-19 vaccines from COVAX Facility arrive in PH
Philippines eyes distribution of AstraZeneca vaccines to hospitals Friday
The Philippines started its vaccination rollout on Monday, inoculating 700 health workers with CoronaVac. More than 9,000 have been inoculated in the country since.
More than 9,000 vaccinated vs COVID-19 in Philippines so far: official
RELATED VIDEO
Watch more in iWantTFC"
https://news.abs-cbn.com/business/03/05/21/first-batch-of-astrazeneca-covid-19-vaccine-for-private-sector-arriving-in-q2-concepcion,First batch of AstraZeneca COVID-19 vaccine for private sector arriving in Q2: Concepcion,ABS-CBN News,Posted at Mar 05 2021 06:13 PM | Updated as of Mar 05 2021 06:25 PM,"Vials with a sticker reading ""COVID-19 / Coronavirus vaccine / Injection only"" and a medical syringe are seen in front of a displayed AstraZeneca logo in this illustration taken Oct. 31, 2020. Dado Ruvic, Reuters/File
MANILA - The initial batch of around 2.6 million doses of AstraZeneca's COVID-19 vaccine secured for private sector's use is expected to arrive by the second quarter, a presidential adviser said Friday.Sec. Joey Concepcion, founder of Go Negosyo and Presidential Adviser for Entrepreneurship, said the first batch of vaccines for 23 companies may arrive by May or June. The remaining balance will arrive around the third quarter.
“Kalahati nun dinonate namin sa national government para sa mga medical frontliners,” said Concepcion.
(Half of that we will donate to the national government for our medical frontliners.)
Vaccination to lead to economic recovery by fourth quarter: presidential adviser
Concepcion said they are also helping secure COVID-19 vaccines from Novavax.
“Kumukuha kami ngayon ng order at dito, ang distributor ay Faberco at Unilab. Dadating 'yan ng third quarter,” Concepcion said.
(We're ordering now and the distributor is Faberco and Unilab. It will arrive by the third quarter.)
He said the national government and the local government units have placed around 30 million to 40 million doses.For the private sector, he said they have already ordered close to 1 million doses.
“Maraming companies are ordering but smaller quantities. These are small and medium size companies halos 400 companies. Dito sa Moderna at Novavax hindi na kailangang mag donate sa government ng vaccines,” he said.
(For Moderna and Novavax, we don't have to donate vaccines to government.)
Small businesses urged to pool orders for COVID-19 vaccine for employees
In an interview on TeleRadyo on Friday, Concepcion said that companies will provide the vaccines to their employees for free.
“All the vaccines are to be given free to our employees, that’s very clear. Libre lahat yan pero yung mga empleyado pwedeng bumili para sa pamilya nila from the company,” he said.
(That's free but the employee can buy for his family from the company.)
He clarified that this is not mandatory as families have the option to wait for the free supply of vaccines coming from their respective local government units.Some companies may extend the free vaccines to their employees’ immediate family while others could offer it through salary deduction.
AstraZeneca, he said, is about $10 for two doses.
Watch more in iWantTFC"
https://news.abs-cbn.com/news/03/05/21/with-arrival-of-astrazenecas-covid-19-shots-duque-says-he-can-now-be-vaccinated,"With arrival of AstraZeneca's COVID-19 shots, Duque says he can now be vaccinated","Job Manahan, ABS-CBN News",Posted at Mar 05 2021 03:45 PM,"Health Secretary Francisco Duque III gives updates to President Rodrigo Duterte during a meeting with the Inter-Agency Task Force on the Emerging Infectious Diseases (IATF-EID) core members at the Arcadia Active Lifestyle Center in Matina, Davao City on February 15, 2021.
MANILA - Health Secretary Francisco Duque III said Friday said it is finally time for him to get vaccinated against COVID-19, following the arrival of AstraZeneca's coronavirus jabs in the Philippines.In a forum at the Southern Philippines Medical Center in Davao City, the country's top health official said AstraZeneca's COVID-19 vaccine could be used for senior citizens like him.""Ang maganda po naman sa AstraZeneca ay siya po ay puwedeng gamitin sa 60 years old and above,"" Duque said.""Magpapabakuna na rin po ako pagdating ng AstraZeneca bilang isang doktor na nagbabakuna rin at humaharap sa pasyente at nagi-inspect ng mga healthcare facilities tulad ng mga ospital,"" the official, who just turned 64 in February, explained.(What's good in AstraZeneca is it can be used to people aged 60 above. This is why I will have myself vaccinated as a doctor who vaccinates other patients and who inspects other healthcare facilities like hospitals.)Unlike Sinovac’s vaccine, which arrived last Sunday, AstraZeneca shots can be administered to the elderly and those with pre-existing medical conditions. However, it is not yet recommended to those below the age of 18.
READ: FAST FACTS: What you need to know about the AstraZeneca vaccine
Meanwhile, Sinovac's Phase I and II trials in China showed the vaccine could safely trigger immune response for older participants but the firm cautioned that data for the protection rate among people aged 60 and above was ""limited.""
READ: Sinovac COVID-19 vaccine safe for health workers, elderly, says GM
FROM THE ARCHIVES:Watch more in iWantTFC
Some 487,200 doses of AstraZeneca’s vaccines arrived in the Philippines on Thursday evening from the World Health Organization-led COVAX Facility. This is the second COVID-19 vaccine brand to be distributed in the country.
READ: 487,200 doses of AstraZeneca COVID-19 vaccines from COVAX Facility arrive in PH
PH VACCINATION DRIVEWith the arrival of the British-Swedish drug firm's COVID-19 vaccines, Duque said the inoculation of AstraZeneca's shots might start on Saturday.
Frontliners will still be prioritized, he said, even those who declined to get Sinovac's vaccines.
As of Mar. 4, 2020, 13,629 Filipinos have been vaccinated, of which some 47 had minor side effects that included mild fever, soreness at the site of the injection, and dizziness.
Three people, meanwhile, reported serious side effects but are yet to be verified.
The government has yet to also allocate some 183,440 doses of the Sinovac's vaccine as of Friday.The Food and Drug Administration said AstraZeneca's COVID-19 jabs has an overall efficacy rate of 70 percent after the first dose and trials are ongoing to determine the efficacy rate after the 2nd dose.
Vaccine czar Secretary Carlito Galvez Jr. said senior health care workers would be among to be prioritized in the first batch of AstraZeneca’s vaccines.— With reports from Hernel Tocmo "
