urls,titles,authors,published_dates,articles_content
https://mb.com.ph/2021/03/05/first-outside-metro-covid-vaccines-reach-soldiers-in-cdo/,First outside Metro: COVID vaccines reach soldiers in CDO,by Martin Sadongdong,"Published March 5, 2021, 5:15 PM","
The Armed Forces of the Philippines (AFP) began vaccinating ts personnel outside Metro Manila Friday, March 5, with the delivery of the first batch of coronavirus disease (COVID-19) jabs to soldiers based in Cagayan de Oro City.
Armed Forces of the Philippines (AFP) (MANILA BULLETIN)
Lt. Gen. Cirilito Sobejana, AFP Chief of Staff, presided over the ceremonial vaccination of military health workers assigned at the Philippine Army’s 4th Infantry Division (4ID) using the CoronaVac vaccines from China’s Sinovac Biotech.
A Philippine Air Force C295 aircraft transported 600 vials of Sinovac vaccines from the Villamor Air Base in Pasay City to Lumbia Airfield in Cagayan de Oro.The shipment was then escorted by military and medical personnel to its destination at the 4ID headquarters in Camp Evangelista.
“We, in the armed forces, especially recognize how significant a progress the vaccination program is in the fight against COVID-19 not only for our troops, who have been serving as frontliners alongside our medical health workers, but most importantly for the needed protection of our fellow Filipinos in highly-vulnerable conditions,” Sobejana said.
The vaccines were the first batch of COVID-19 vaccines that were delivered by the military outside Metro Manila.
Sobejana said around 100 out of the total 300 frontliners assigned in 4ID were targeted to be inoculated during the ceremonial vaccination.The ceremonial vaccination of military health workers was headed by Colonel Jonna Dalaguit, commanding officer of Camp Evangelista Station Hospital.
Aside from Sobejana, the event was also witnessed by Defense Secretary Delfin Lorenzana and Secretary Carlito Galvez Jr., vaccine czar and chief implementer of the National Task Force (NTF) Against COVID-19.
Meanwhile, Sobejana said that the AFP is already planning the distribution of COVID-19 vaccines to other areas outside Metro Manila through its land, air, and naval assets. He said the military has been coordinating with the Department of Health (DOH) to discuss the protocol on the handling and storage of vaccines prior to their delivery in other regions using military assets.“We are one with the government and the Health department in the full force implementation of the National Vaccine Deployment Program,” Sobejana said.
“I am urging all members of the Armed Forces of the Philippines to join this effort so that we will be able to convey to our people the need for their cooperation in the fight against the COVID-19 pandemic,” he concluded. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/05/dont-blame-us-pao-says-on-delay-in-arrival-of-covid-19-vaccines/,‘Don’t blame us’ – PAO says on delay in arrival of COVID-19 vaccines,by Jeffrey Damicog,"Published March 5, 2021, 2:26 PM","
“Don’t blame us. We are just doing our job.”
This was the stern reaction by the Public Attorneys’ Office (PAO) in response to a published article that “blamed” the office and its head, lawyer Persida V. Rueda Acosta, for the delay in the arrival of the vaccines against the corona virus disease 2019 (COVID-19).
(MANILA BULLETIN FILE PHOTO)
PAO, an agency under the Department of Justice (DOJ), has been assisting families in the prosecution of those believed responsible for the deaths of persons inoculated with the anti-dengue Dengvaxia vaccine that is manufactured by French pharmaceutical firm Sanofi Pasteur.It has autopsied a total of 161 dead persons who were reportedly inoculated with Dengvaxia vaccine.
In 2017, then Justice Seretary and now National Police Commission (Napolcom) Vice Chairman Vitaliano Aguirre II directed PAO to “extend free legal assistance in civil, criminal and administrative cases to all possible victims of Dengvaxia related injuries, illnesses and deaths.”
It was alleged that one of the delays in the arrival of COVID-19 vaccinees is the reported demand for protection by pharmaceutical firms concerning from the possible adverse effects of their products.
“Clearly, the Dengvaxia cases cannot be faulted because as shown… it has always been the thrust of vaccine manufacturers to lobby for indemnification programs granting them protection from lawsuits associated with vaccine-related adverse events, especially in the case of COVID-19 vaccines,” PAO said in a statement.It said “the newspaper editorial blaming the PAO and the Chief Public Attorney for the ‘sudden’ demand by vaccine manufacturers for a vaccine injury indemnity mechanism and the delay in vaccine procurement is not only misleading but a ‘Fake News’ intended to derail the Philippines’ response to the C0VID-19 Pandemic.”
“Nevertheless, despite opposition attempts to politicize and discredit the government’s response to the pandemic, COVID-19 vaccines have arrived from China (Sinovac) and the Covax Facility (AstraZeneca), and hospitals have started vaccinating their healthcare frontliners,” it pointed out. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/05/astrazeneca-vaccine-can-give-protection-against-severe-covid-19-health-expert-says/,"AstraZeneca vaccine can give protection against severe COVID-19, health expert says",by Analou De Vera ,"Published March 5, 2021, 12:47 PM","
AstraZeneca’s coronavirus disease (COVID-19) vaccine can give protection against the severe effects of the illness, an infectious disease expert said Friday, March 5.
San Lazaro Hospital Infectious Diseases Head Dr. Rontgene Solante emphasized that it is important to get vaccinated against the disease, especially those in the priority sector such as the healthcare workers and the elderly people.
A member of the OCTA Research Group Fr. Nicanor Austriaco on Wednesday, March 3, said that the efficacy of AstraZeneca vaccine against the South African variant of coronavirus “could be reduced from 70 percent to 10 percent.”Solante, meanwhile, cautioned the OCTA research team against giving such statements.
“If you read the statements and in fact, I’m going to the hospitals — (some) are telling me, ‘should I receive the Astra vaccines since I do not want to get the Sinovac, but there is this issue on South African variant,’ but I always assure them we don’t have problems with the South African variant,” said Solante in an interview on ABS-CBN News Channel on Friday, March 5.
“Just get the vaccine, the most important part is the willingness to get the vaccine.Yung mga variant na iyan doon na natin pag-isipan iyan later on (Let’s think about those variants later), just get the vaccine,” he added.
Solante said that the South African variant of coronavirus “is not a variant of concern as of this moment in the Philippines.”“We still need this vaccine and this vaccine is still a good additional vaccine for all Filipinos especially the frontline health workers, those with comorbidities, and probably those who are 65 years and above,” he said.
“The point there in the WHO (World Health Organization) findings in that particular trial, it did not prevent the influence of mild to moderate COVID for those who had a South African variant but nobody did develop a severe COVID even with that South African variant, Looking at immunological insights, there is still protection,” he added.
“And that’s what we want, especially those for higher risk of mortality. The impact of preventing them from dying from hospitalization,” he furthered.WHO Country Representative to the Philippines Dr. Rabindra Abeyasinghe also said on Thursday, March 4, that AstraZeneca’s vaccine is effective against this particular variant.
“We still believe that the AstraZeneca vaccine is effective even in places where you have a large proportion of cases which could be attributed to the B1351 variant or the South African variant,” he said.
The first shipment of COVID-19 vaccines developed by AstraZeneca arrived in the Philippines on Thursday night, March 4, through the COVAX facility, a global initiative aimed at securing equitable access to COVID-19 vaccines worldwide. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/05/malabon-city-starts-covid-19-vaccine-rollout/,Malabon City starts COVID-19 vaccine rollout,by Allysa Nievera,"Published March 5, 2021, 12:11 PM","
The local government of Malabon City launched on Friday, March 5, its coronavirus disease (COVID-19) vaccination program.
( Mayor Lenlen Oreta Official facebook page/ MANILA BULLETIN)
The symbolic program was attended by Mayor Lenlen Oreta and other officials of Ospital ng Malabon (OSMAL).
OSMAL’s healthcare workers will receive China’s Sinovac vaccines.OSMAL chief Dra. Mitzi Tanchoco was the first medical frontliner to receive the Sinovac jab in the city.
Oreta reminded his constituents to continue observing health protocols to avoid the further transmission of the virus.
‘Wag sana nating balewalain ang mga sakripisyo na patuloy nating ginagawa laban sa COVID-19. Please continue to take all the precautionary steps para manatiling ligtas sa gitna ng pandemic (Let us not put to waste the sacrifices we continue to make (in the fight) against COVID-19. Please continue to take all the precautionary steps to stay safe in the midst of a pandemic), “ Oreta said in a Facebook post. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/05/go-jab-govt-officials-with-covid-19-vaccines-after-essential-sectors/,Go: Jab gov’t officials with COVID-19 vaccines after essential sectors,by Mario Casayuran,"Published March 5, 2021, 10:53 AM","
Senator Christopher “Bong” Go on Friday, March 5, expressed his support to suggestions to inoculate government officials in public in a bid to allay fears and boost public confidence on the safety and efficacy of coronavirus disease (COVID-19) vaccines.
Senator Christopher “Bong” Go (Joseph Vidal/Senate PRIB/ MANILA BULLETIN FILE PHOTO)
Go, chairman of the Senate health and demography committee, however, emphasized that this should be done without prejudice to the priority list of the government’s national COVID-19 vaccination program which identified essential sectors as priorities, such as medical frontliners as well as poor and vulnerable sectors.
During the launch of the Malasakit Center in Rafael Lazatin Memorial Medical Center in Angeles City, Pampanga, Go was asked if he supports putting local officials in the priority list to get COVID-19 vaccine.The senator responded favorably, saying, “Bakit hindi? Kumpiyansa po ang kinukuha natin dito. Eh, kung ibig sabihin nga nito, kung ang Mayor ninyo nagpabakuna nga, so ibig sabihin magtiwala kayo (Why not? We are securing public confidence. If your Mayor will be vaccinated, this will boost public confidence [on the safety of the vaccines]).” If it would help allay the fears of the public on getting vaccinated, Go said that he would support such recommendation.
While getting vaccinated is voluntary, Go stressed its vital role in attaining herd immunity in the country.
“Wala naman po itong pilitan. Buhay po nila ‘yan. So boluntaryo naman po ito. Kami naman po rito sa gobyerno ay pinapaintindi namin sa kanila na tanging bakuna lamang po ang susi o solusyon dito sa ating problema kontra COVID-19 (Nobody will be forced to be vaccinated. That is their lives. This is voluntary. We in government, we just want the people to understand that the vaccine is the only key or solution to our problem against COVID-19),” Go said.
“Importante po dito ay ma-attain natin ‘yung herd immunity sa community. (It is important here that we attain the herd immunity in the community),” he stated.‘Pag ‘yung komunidad ninyo ay na-attain na ‘yung herd immunity, maiiwasan na ang pagkalat… kakayanin na po ng ating anti-bodies dahil po sa bakuna na ituturok sa tao. (Once your community has attained that herd immunity… the spread of the disease will be prevented. We will have the anti-bodies due to the vaccine that was injected to us),” Go added.
Go and President Duterte witnessed the turnover ceremony for the AstraZeneca vaccines which arrived in the country at 7:30 pm last Thursday.
The AstraZeneca jabs, which will be the second batch of COVID-19 vaccines to arrive in the country, are from the World Health Organization-led Vaccines Global Access (COVAX) facility, a global initiative that guarantees access to COVID-19 vaccines worldwide.The senator from Davao said during the interview that a plan has already been laid out identifying the strategic locations where the vaccines are going to be stored to ensure equitable access throughout the country.
‘’We will arm our frontliners, we will prioritize them because they are in the frontline in this battle against the COVID-19,” he stressed. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/05/eu-commits-to-provide-affordable-fair-access-to-covid-19-vaccines-for-filipinos/,"EU commits to provide affordable, fair access to COVID-19 vaccines for Filipinos",by Roy Mabasa,"Published March 5, 2021, 10:00 AM","
The European Union (EU) has reiterated its commitment to ensuring equitable access to vaccines, tests, and treatments following the arrival of the first 487,200 doses of AstraZeneca COVID-19 vaccines in Manila, Thursday night.
This file illustration photo taken on November 17, 2020 shows a drop from a syringe with a flag of the European Union reflected in it on November 17, 2020. (AFP / File photo / MANILA BULLETIN)
“Team Europe is proud to contribute to the COVAX facility to help provide for affordable and fair access to vaccines for Filipinos”, EU Ambassador Luc Véron said in a statement. President Duterte, along with top government officials and foreign dignitaries, welcomed the arrival of the plane carrying the 487,200 vaccine doses from the COVAX facility at the Ninoy Aquino International Airport (Naia) past 7 p.m. on Thursday.
The first batch of the vaccines, as well as the 40 million more doses to come, are part of the World Health Organization (WHO)-led COVAX facility allocation to which Team Europe is the biggest contributor. Véron said the Philippines will receive vaccines for 22 million Filipinos under the COVAX facility, aiming to inoculate 20 percent of the population and put an end to the acute phase of the crisis.To date, the EU has provided P130 billion (€ 2.2 billion) to help 92 low and middle-income countries, including the Philippines, to help gain access to COVID-19 vaccines. “The EU has both a responsibility and interest to make vaccines available to all”.
“The European Union has maintained its goal to work in solidarity for vaccine cooperation and multilateralism – none is safe until everyone is safe,” the EU’s top diplomat in Manila stressed.
The first batch of vaccines delivered to Manila is produced by the British-Swedish company Astra Zeneca. At the onset of the pandemic, the EU has invested billions not only into vaccine research but also diagnostics, treatment, epidemiology, protective equipment, as well as modernization of health systems. It was the main contributor behind the development of the first safe and successful vaccine developed by BioNTech and Pfizer, making it the first COVID-19 vaccine authorized in the EU. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/05/new-evidence-shows-covid-19-antibodies-vaccines-less-effective-against-variants/,"New evidence shows COVID-19 antibodies, vaccines less effective against variants",by Xinhua,"Published March 5, 2021, 9:43 AM","
CHICAGO, United States (Xinhua) — A research at Washington University School of Medicine in St. Louis indicates that three new, fast-spreading variants of the virus that cause COVID-19 can evade antibodies that work against the original form of the virus that sparked the pandemic.
A nurse prepares to administer the COVID-19 vaccine at a hospital in Tripoli, northern Lebanon, on March 4, 2021. (Xinhua / MANILA BULLETIN)
To assess whether the new variants could evade antibodies made for the original form of the virus, the researchers tested the ability of antibodies to neutralize three virus variants in the laboratory.
The researchers tested the variants against antibodies in the blood of people who had recovered from SARS-CoV-2 infection or were vaccinated with the Pfizer vaccine. They also tested antibodies in the blood of mice, hamsters and monkeys that had been vaccinated with an experimental COVID-19 vaccine, developed at Washington University School of Medicine, that can be given through the nose.The B.1.1.7 (found in Britain) variant could be neutralized with similar levels of antibodies as were needed to neutralize the original virus. But the other two variants required from 3.5 to 10 times as much antibody for neutralization.
The researchers then tested monoclonal antibodies: mass-produced replicas of individual antibodies that are exceptionally good at neutralizing the original virus. When the researchers tested the new viral variants against a panel of monoclonal antibodies, the results ranged from broadly effective to completely ineffective.
Since each virus variant carried multiple mutations in the spike gene, the researchers created a panel of viruses with single mutations so they could parse out the effect of each mutation. Most of the variation in antibody effectiveness could be attributed to a single amino acid change in the spike protein. This change, called E484K, was found in the B.1.135 from South Africa and B.1.1.248 from Brazil variants, but not B.1.1.7 from Britain.
The B.1.135 variant is widespread in South Africa, which may explain why one of the vaccines tested in people was less effective in South Africa than in the United States, where the variant is still rare, said senior author Michael S. Diamond.“We don’t exactly know what the consequences of these new variants are going to be yet,” said Diamond, also a professor of molecular microbiology and of pathology & immunology. “It is clear that we will need to continually screen antibodies to make sure they’re still working as new variants arise and spread and potentially adjust our vaccine and antibody-treatment strategies.”
The findings are published Thursday in Nature Medicine. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/04/laguna-receives-first-batch-of-covid-19-vaccines/,Laguna receives first batch of COVID-19 vaccines,by Carla Bauto Deña,"Published March 4, 2021, 10:38 PM","
LAGUNA – The provincial government received its first batch of Sinovac COVID-19 vaccines from the national government through the Department of Health on Thursday (March 4).
Governor Ramil L. Hernandez / Facebook / MANILA BULLETIN
The local government unit (LGU) is set to begin its vaccine rollout on Friday (March 5).
In a Facebook post, Governor Ramil L. Hernandez said the first 400 doses of vaccine are reserved for the medical frontliners of the San Pablo City District Hospital.On March 3, the LGU conducted a simulation exercise for its vaccination rollout. The activity was led by the Laguna Medical Center and the Laguna Provincial Health Office. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/04/ph-receives-millionth-covid-19-vaccine-shot-with-arrival-of-astrazeneca-doses/,PH receives millionth COVID-19 vaccine shot with arrival of AstraZeneca doses,by Argyll Cyrus Geducos,"Published March 4, 2021, 9:37 PM","
The first batch of AstraZeneca vaccines from the COVAX Facility has finally arrived in the country on Thursday, bringing the total number of coronavirus (COVID-19) vaccines that the Philippines has to 1,087,200.
(Photo from PCOO-OGMA)
The plane carrying the 487,200 doses of AstraZeneca vaccines arrived at the Ninoy Aquino International Airport (NAIA) Terminal 3 at 7:10 p.m. on March 4 from Belgium, flight KLM 803 passed by Bangkok, Thailand first before landing in Manila.
The vaccines were developed in South Korea and have been donated by the following countries:
GermanyEuropean Union NorwayFrance 
ItalySpainThe Netherlands
SwedenDenmarkBelgiumAustriaGreeceThe vaccines were transported to Metropac in Marikina.
Distribution of the vaccines will immediately commence after repackaging.
Meanwhile, the National Immunization Technical Advisory Group (NITAG) is set to release a finalized priority list for this batch of vaccines soon.
Malacañang said on Thursday that health workers who passed on CoronaVac will be entitled to the AstraZeneca vaccine.
The Philippines first received 600,000 CoronaVac doses from the Chinese government on Sunday, February 28, and is set to receive 1 million more this month, bringing the total number of vaccine doses that the Philippines will have to 2,087,200 shots.
The COVAX Facility, which the Philippines joined, is a mechanism led by the World Health Organization (WHO) that is designed to guarantee rapid, fair, and equitable access to COVID-19 vaccines worldwide. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
https://mb.com.ph/2021/03/04/uk-to-fund-study-on-3rd-dose-of-covid-19-vaccine/,UK to fund study on 3rd dose of COVID-19 vaccine,by Xinhua,"Published March 4, 2021, 7:18 PM","
LONDON — The British government will fund what it believes to be the world’s first study assessing the effectiveness of a third dose of vaccine to combat COVID-19, the UK Budget revealed on Wednesday.
(Agence France Presse / MANILA BULLETIN)
The government is committing 22 million pounds (30.70 million U.S. dollars) to studies that test the effectiveness of a combination of different COVID-19 vaccines. This will also fund the world’s first study assessing the effectiveness of a third dose of vaccine to improve the response against current and future variants of COVID-19, according to the Budget.
It said 28 million pounds (39.07 million dollars) will be invested to increase the country’s capacity for vaccine testing, support for clinical trials and improve its ability to rapidly acquire samples of new variants of COVID-19.The Budget said there will be an extra 1.65 billion pounds (2.30 billion dollars) of cash injection to ensure the COVID-19 vaccination rollout in England continues to be a success.
Britain started its COVID-19 vaccination program in December, and over 20 million people had received at least the first dose of a vaccine by the end of February. SIGN UP TO DAILY NEWSLETTER
CLICK HERE TO SIGN-UP"
